student_id,observed_success,pp_mean,pp_q025,pp_q975,inside_95_interval
28,0.2,0.26373333333334353,0.0,0.6,True
311,1.0,0.533,0.0,1.0,True
340,1.0,0.58825,0.0,1.0,True
344,0.75,0.514,0.0,1.0,True
349,0.25,0.27190625,0.0,0.75,True
351,0.46153846153846156,0.41348076923076815,0.07692307692307693,0.7692307692307693,True
352,0.0,0.250625,0.0,1.0,True
359,0.6896551724137931,0.6590301724138037,0.41379310344827586,0.8620689655172413,True
36,0.5,0.49636875000000064,0.2,0.75,True
37,0.6923076923076923,0.6085673076923147,0.3076923076923077,0.9230769230769231,True
374,0.6,0.5801333333333358,0.26666666666666666,0.8666666666666667,True
375,0.7272727272727273,0.660556818181845,0.2727272727272727,1.0,True
376,0.4375,0.446234375,0.125,0.75,True
378,0.5833333333333334,0.5709791666666691,0.2916666666666667,0.8333333333333334,True
380,0.0,0.3433125,0.0,1.0,True
383,1.0,0.62125,0.0,1.0,True
387,0.5714285714285714,0.5505446428571439,0.21428571428571427,0.8571428571428571,True
394,0.5882352941176471,0.5799374999999839,0.35294117647058826,0.7941176470588235,True
397,0.5,0.489875,0.0,1.0,True
403,0.4,0.4231666666666773,0.13333333333333333,0.7333333333333333,True
405,0.14285714285714285,0.20960714285713242,0.0,0.5714285714285714,True
406,0.3333333333333333,0.3353333333333283,0.0,0.7777777777777778,True
407,0.4444444444444444,0.40913888888889155,0.10833333333333585,0.7777777777777778,True
409,0.5,0.4747083333333336,0.0,1.0,True
41,0.4166666666666667,0.4152604166666655,0.16666666666666666,0.6666666666666666,True
411,0.3076923076923077,0.34467307692308247,0.07692307692307693,0.6923076923076923,True
414,0.375,0.406375,0.0,0.875,True
415,0.0,0.1605277777777655,0.0,0.5555555555555556,True
419,0.16666666666666666,0.289729166666667,0.0,0.8333333333333334,True
420,0.25,0.316609375,0.0,0.75,True
421,0.14285714285714285,0.2626964285714173,0.0,0.7142857142857143,True
422,0.2,0.31917500000000254,0.0,0.8,True
426,0.5263157894736842,0.5205000000000042,0.21052631578947367,0.7894736842105263,True
455,0.25,0.37778125,0.0,1.0,True
457,0.7222222222222222,0.6722569444444544,0.3888888888888889,0.9444444444444444,True
462,1.0,0.654875,0.0,1.0,True
464,0.8,0.6576000000000254,0.2,1.0,True
465,0.6428571428571429,0.606812499999997,0.2857142857142857,0.9285714285714286,True
466,0.5,0.4850625,0.0,1.0,True
467,1.0,0.66875,0.0,1.0,True
468,0.8125,0.743265625,0.4375,1.0,True
470,0.6666666666666666,0.595166666666667,0.16666666666666666,1.0,True
473,0.3235294117647059,0.343297794117662,0.14705882352941177,0.5588235294117647,True
483,0.7142857142857143,0.6791392857142989,0.45714285714285713,0.8571428571428571,True
493,0.0,0.429,0.0,1.0,True
509,0.64,0.6141550000000165,0.36,0.84,True
510,0.3076923076923077,0.3284711538461598,0.07692307692307693,0.6923076923076923,True
511,0.5,0.4434125000000011,0.1,0.8,True
52,0.0,0.264125,0.0,1.0,True
524,0.46153846153846156,0.4293557692307705,0.15384615384615385,0.7692307692307693,True
525,0.1,0.17967499999999906,0.0,0.5,True
535,0.5833333333333334,0.5552708333333335,0.16666666666666666,0.9166666666666666,True
551,0.08333333333333333,0.1896770833333329,0.0,0.5,True
556,1.0,0.654125,0.0,1.0,True
57,0.3333333333333333,0.39672916666666713,0.0,0.8333333333333334,True
576,0.5,0.4495,0.0,1.0,True
582,0.3333333333333333,0.4056666666666658,0.0,0.8333333333333334,True
591,0.4166666666666667,0.42210416666666634,0.08333333333333333,0.75,True
592,0.75,0.62334375,0.0,1.0,True
598,1.0,0.550125,0.0,1.0,True
600,0.0,0.472875,0.0,1.0,True
624,0.3333333333333333,0.3034166666666652,0.0,1.0,True
625,0.4,0.3871250000000026,0.1,0.8,True
626,0.0,0.16425,0.0,0.75,True
633,0.8260869565217391,0.7686521739130253,0.5217391304347826,0.9565217391304348,True
634,0.3125,0.346,0.0625,0.6875,True
636,0.2,0.3380250000000005,0.0,0.8,True
637,0.2857142857142857,0.34844642857142866,0.0,0.8571428571428571,True
638,0.14285714285714285,0.2696607142857039,0.0,0.7142857142857143,True
639,0.14285714285714285,0.276357142857132,0.0,0.7142857142857143,True
64,0.2857142857142857,0.2862142857142787,0.0,0.7142857142857143,True
641,0.2857142857142857,0.3496964285714293,0.0,0.8571428571428571,True
642,0.6666666666666666,0.586958333333333,0.16666666666666666,1.0,True
643,0.4,0.43007499999999793,0.0,1.0,True
645,0.3333333333333333,0.4267500000000035,0.0,1.0,True
646,0.5,0.461875,0.0,1.0,True
647,0.0,0.2816249999999975,0.0,1.0,True
651,0.14285714285714285,0.26501785714284565,0.0,0.7142857142857143,True
657,0.5,0.5013749999999991,0.0,1.0,True
658,0.42857142857142855,0.4426785714285732,0.0,0.8571428571428571,True
659,0.0,0.341,0.0,1.0,True
660,0.6666666666666666,0.5920000000000007,0.16666666666666666,1.0,True
661,0.5714285714285714,0.5446071428571376,0.14285714285714285,1.0,True
663,0.5714285714285714,0.5368392857142835,0.14285714285714285,1.0,True
664,0.8333333333333334,0.6827708333333316,0.16666666666666666,1.0,True
666,0.4,0.4356999999999984,0.0,1.0,True
667,1.0,0.7926785714285534,0.42857142857142855,1.0,True
668,0.5,0.5181875,0.0,1.0,True
669,0.5714285714285714,0.5436249999999943,0.14285714285714285,1.0,True
67,0.42857142857142855,0.4434642857142882,0.0,0.8571428571428571,True
674,0.2857142857142857,0.3562500000000007,0.0,0.8571428571428571,True
675,0.5714285714285714,0.5301249999999984,0.14285714285714285,1.0,True
679,0.3333333333333333,0.3877500000000036,0.0,1.0,True
682,1.0,0.57375,0.0,1.0,True
